Funding Categories†,Total Amount,Unit,Category,Dept,Delegates,Community Area,Subdelegates,Subdelegate Amount
Outside Funding - Youth Works Summer Job Program,10960833,Maryland,Youth Services,,Baltimore OED,Citywide,,"3,653,409"
Workforce Services for WIOA Funded Youth,3260315,Federal,Youth Services,,Baltimore OED,Citywide,,
Neighborhood Safety and Engagement,8941658,DC,Outreach,Office of Neighborhood Safety and Engagment,,Citywide,,
Family and Survivor Support,593328,DC,Victim Services,Office of Neighborhood Safety and Engagment,,Citywide,,
Leadership Academy,592026,DC,Youth Services,Office of Neighborhood Safety and Engagment,,Citywide,,
Pathways Transitional Employment,1267064,DC,Reentry - Job and Employment Services,Office of Neighborhood Safety and Engagment,,Citywide,,
Restorative Justice Collaborative,403218,DC,General Violence Prevention,Office of Neighborhood Safety and Engagment,,Citywide,,
Violence Intervention,6086022,DC,General Violence Prevention,Office of Neighborhood Safety and Engagment,,Citywide,,
Cure the Streets Program,5729132,DC,General Violence Prevention,Office of the Attorney General,,Citywide,,
Victim services†,30900000,DC,Victim Services,Office of Victim Services and Justice Grants,,Citywide,,
Extreme Risk Protective Order Public Awareness,150000,DC,Outreach,Deputy Mayor of Public Safety and Justice,,Citywide,,
Roving Leaders,2800000,DC,Youth Services,Parks and Recreation,,Citywide,,
Credible Messengers Mentorship Program,4300000,DC,Youth Services,Department of Youth Rehabilitation Services,,Citywide,,
Community Grants Initiative,20000000,Philadelphia,Grants,,,Citywide,,
Youth Evening Reporting Centers,1500000,Philadelphia,Youth Services,,,Citywide,,
Commerce Dept Violence Prevention,5600000,Philadelphia,General Violence Prevention,Dept of Commerce,,Citywide,,
911 Triage/Co-Responders & Mobile Crisis Units,13300000,Philadelphia,Alternative Response,,,Citywide,,
Parks and Free Library,10100000,Philadelphia,Physical Space Improvements,Parks and Recreation,,Citywide,,
Transitional jobs,3500000,Philadelphia,Reentry - Job and Employment Services,Office of Workforce Development,,Citywide,,
Roadmap Community Response,1300000,Philadelphia,General Violence Prevention,,,Citywide,,
Group Violence Intervention and Community Crisis Intervention,1300000,Philadelphia,General Violence Prevention,,,Citywide,,
Targeted Community Investment Grants,500000,Philadelphia,Grants,,,Citywide,,
L&I Demolitions,130000,Philadelphia,Physical Space Improvements,,,Citywide,,
Office of Violence Prevention,125000,Philadelphia,General Violence Prevention,Office of Violence Prevention,,Citywide,,
Job Training,2000000,Philadelphia,Job and Employment Services,,,Citywide,,
Rapid Employment and Development Initiative (READI),300000,Philadelphia,Job and Employment Services,,,Citywide,,
Community Improvements,1350000,Philadelphia,Physical Space Improvements,,,Citywide,,
Community Engagement,355000,Philadelphia,Outreach,,,Citywide,,
Citizen Police Oversight Commission,2000000,Philadelphia,Police Oversight,Police,,Citywide,,
Expanded Police Officer Training,750000,Philadelphia,Police,Police,,Citywide,,
Early Intervention System for Police,400000,Philadelphia,Police,Police,,Citywide,,
Operation Shield Camera Network Expansion,3000000,Atlanta,Physical Space Improvements,,,Citywide,,
Cure Violence Program Expansion,5000000,Atlanta,General Violence Prevention,,ARP,Citywide,,
Total Crime Reduction Proposed,70000000,Atlanta,General Violence Prevention,,,Citywide,,
Pre-Arrest Diversion Program,1500000,Atlanta,Youth Services,,,Citywide,,
,,LA,,,,,,
Total Violence Prevention Programs Allocation,9200000,Oakland,General Violence Prevention,,,Citywide,,
Violence Prevention Services Contracts,1825000,Oakland,General Violence Prevention,,,Citywide,,
Mobile Assistance Community Responders of Oakland,3000000,Oakland,Alternative Response,,,Citywide,,
Community Police Commission,2907160,Oakland,Police Oversight,,,Citywide,,
Police Trust Unit,,Oakland,Police,,,Citywide,,
"Police Hiring, Academies, and Overtime",,Oakland,Police,,,Citywide,,
Community Collaborative Commission,50000,Milwaukee,Police Oversight,,,Citywide,,
Police Dept. Community Feedback Survey,50000,Milwaukee,Outreach,,,Citywide,,
Community Resource Navigators,250000,Milwaukee,Outreach,,,Citywide,,
Domestic Violence Intervention for At-Risk Men,150000,Milwaukee,General Violence Prevention,,,Citywide,,
414 LIFE Training,300000,Milwaukee,General Violence Prevention,,,Citywide,,
Task Force on Domestice Violence and Sexual Assault,200000,Milwaukee,General Violence Prevention,,,Citywide,,
Community Excellence Fund,50000,Milwaukee,General Violence Prevention,,,Citywide,,
